AIRFOIL_GEO
    40.398693    1.081093
    40.989628    0.976216
    41.576443    0.874273
    42.158520    0.776290
    42.734871    0.683306
    43.304214    0.596044
    43.865288    0.514961
    44.416801    0.440476
    44.957180    0.372813
    45.484776    0.311653
    45.998318    0.256216
    46.497021    0.205697
    46.980293    0.159438
    47.447624    0.116784
    47.898716    0.077073
    48.333466    0.039808
    48.751747    0.004653
    49.153435   -0.028717
    49.538532   -0.060588
    49.907082   -0.091064
    50.259018   -0.120106
    50.594154   -0.147718
    50.912342   -0.173973
    51.213490   -0.198875
    51.497437   -0.222359
    51.763947   -0.244405
    52.012840   -0.265045
    52.243969   -0.284261
    52.457130   -0.301987
    52.652061   -0.318194
    52.828533   -0.332895
    52.986324   -0.346071
    53.125175   -0.357666
    53.244743   -0.367644
    53.344654   -0.375992
    53.424473   -0.382679
    53.483593   -0.387638
    53.521038   -0.390777
    53.534191   -0.391879
